id_institution,name_institution,logo_institution,inn_institution,licence_institution,type_institution,site_institution,city_institution,rating,prognosis,description,,,,,,
1,Абсолют Банк,absolyutbank.jpg,7736046991,2306,Bank,http://absolutbank.ru/,,A+ (III),Развивающийся,,,,,,,
2,Банк «Аверс»,avers.png,1653003601,415,Bank,http://www.aversbank.ru/,,A++,Стабильный,,,,,,,
3,Автоградбанк,avtogradbank.png,1650072068,1455,Bank,http://www.avtogradbank.ru/,,ruBB-,Стабильный,,,,,,,
4,Банк «Агророс»,agroros.png,6453033870,2860,Bank,http://www.agroros.ru,,ruBB+,Стабильный,,,,,,,
5,КБ «Агросоюз»,agrosouz.png,5610000466,1459,Bank,http://www.asbank.ru/,,B++,Негативный,,,,,,,
6,Азиатско-Тихоокеанский Банк,atb.png,2801023444,1810,Bank,https://www.atb.su/,,ruCC,Негативный,,,,,,,
7,АКИБАНК,akibank.jpg,1650002455,2587,Bank,http://www.akibank.ru/,,A (III),Стабильный,,,,,,,
8,АКТИВ БАНК,activ.png,1326024785,2529,Bank,http://www.aktivbank.ru/,,A (I),Стабильный,,,,,,,
9,АктивКапитал Банк,activcapital.png,6318109040,3006,Bank,http://acbank.ru/,,B,Негативный,,,,,,,
10,Банк «Александровский»,alexandrovskiy.png,7831000080,53,Bank,https://alexbank.ru/,,ruBB+,Стабильный,,,,,,,
11,Алмазэргиэнбанк,almazergien.png,1435138944,2602,Bank,http://www.albank.ru/,,A+ (III),Стабильный,,,,,,,
12,Алтайкапиталбанк,altaicapital.png,2225019491,2659,Bank,http://capitalbank.ru/,,A (II),Негативный,,,,,,,
13,Банк Аспект,aspect.png,7716081564,608,Bank,http://www.aspectbank.ru/,,B++,Негативный,,,,,,,
14,КБ «Ассоциация»,associaciya.png,5253004326,732,Bank,http://assotsiatsiyabank.ru/,Нижний Новгород,A+ (III),Негативный,,,,,,,
15,БайкалИнвестБанк,baikalinvest.png,3801002781,1067,Bank,http://www.baikalinvestbank.ru,,B++,Стабильный,,,,,,,
16,Банк Акцепт,akcept.png,5405114781,567,Bank,http://www.akcept.ru/,,A+ (II),Стабильный,,,,,,,
17,Банк БКФ,bkf.jpg,7704111969,2684,Bank,http://www.cfb.ru/,,B++,Стабильный,,,,,,,
18,Банк «ЖилФинанс»,bankzhilfinance.png,7709056550,3138,Bank,http://bgfbank.ru,,B++,Стабильный,,,,,,,
19,Банк Казани,bankkazan.png,1653018661,708,Bank,http://www.bankofkazan.ru/,,B++,Негативный,,,,,,,
20,Банк Премьер Кредит,premerkredit.png,1102011300,1663,Bank,http://premcred.ru,,B,Негативный,,,,,,,
21,"Банк ""Саратов""",banksaratov.png,6455000037,-,Bank,http://banksaratov.ru/,Саратов,B++,Стабильный,,,,,,,
22,Бест Эффортс Банк,bestefforts.png,7831000034,435,Bank,https://www.besteffortsbank.ru/,,A+ (I),Стабильный,,,,,,,
23,БКС Банк,bankbks.jpg,5460000016,101,Bank,https://bcs-bank.com/,,ruBBB+,Стабильный,,,,,,,
24,Братский АНКБ,ankb.png,3803202031,1144,Bank,http://www.ankb.ru/,,A (II),Стабильный,,,,,,,
25,БФА Банк,bfa.png,7831001408,3038,Bank,https://www.bfa.ru/,,A (III),Стабильный,,,,,,,
26,Владбизнесбанк,vladbiznes.png,3327100351,903,Bank,http://www.vlbb.ru/,,ruBBB-,Негативный,,,,,,,-
27,Внешфинбанк,vneshfinancebank.png,_0541016015,3173,Bank,https://www.vfbank.ru/,,A (III),Стабильный,,,,,,,
28,"КБ ""Вологжанин""",vologzhanin.png,3525030681,1896,Bank,https://bankvl.ru/,,ruBB-,Стабильный,,,,,,,
29,Банк ВТБ,vtb.png,7702070139,1000,Bank,http://www.vtb.ru/,,A++,Стабильный,,,,,,,
30,Газпромбанк,gazprombank.png,7744001497,354,Bank,http://www.gazprombank.ru/,,A++,Стабильный,,,,,,,
31,ГУТА-БАНК,gutabank.png,6905011218,256,Bank,http://www.gutabank.ru/,,B++,Негативный,,,,,,,
32,Девон-Кредит,devoncredit.png,1644004905,1972,Bank,https://www.devoncredit.ru/,,A+ (III),Стабильный,,,,,,,
33,АКБ «Держава»,akbderzhava.png,7729003482,2738,Bank,http://www.derzhava.ru/,,A (II),Стабильный,,,,,,,
34,Джей энд Ти Банк,jtbank.png,7713001271,3061,Bank,https://jtbank.ru/,,A (I),Стабильный,,,,,,,
35,Евразийский банк,eurasianbank.jpg,7536002161,969,Bank,http://www.eubank.kz/pages/mi_v_rossii/,,B++,Стабильный,,,,,,,
36,Евроазиатский Инвестиционный Банк,euroaziatskiy.jpg,7712034098,2897,Bank,http://www.eab.ru/,,B++,Стабильный,,,,,,,
37,Запсибкомбанк,zapsibkombank.png,7202021856,918,Bank,http://www.zapsibkombank.ru,,A+ (II),Стабильный,,,,,,,
38,Земский банк,zemskybank.png,6325065114,2900,Bank,http://www.zemsky.ru/,,B++,Стабильный,,,,,,,
39,Ижкомбанк,izhkombank.png,1835047032,646,Bank,http://www.izhcombank.ru/,,A (III),Стабильный,,,,,,,
40,Инбанк,inbank.png,5617000264,1829,Bank,http://www.in-bank.ru/,,A (I),Негативный,,,,,,,
41,АКБ «ИРС»,akbirs.gif,7713073082,272,Bank,http://www.bankirs.ru/,,B++,Стабильный,,,,,,,
42,Камский коммерческий банк,kamkombank.png,1650025163,438,Bank,http://www.kamkombank.ru/,,A (II),Стабильный,,,,,,,
43,КБ «КОЛЬЦО УРАЛА»,kolcourala.png,6608001425,65,Bank,https://www.kubank.ru/ru/,,B++,Стабильный,,,,,,,
44,КОШЕЛЕВ-БАНК,koshelevbank.png,5260059340,3300,Bank,http://koshelev-bank.ru/,,A (II),Стабильный,,,,,,,
45,Кранбанк,kranbank.jpg,3728018834,2271,Bank,https://www.kranbank.ru/,,ruB-,Негативный,,,,,,,
46,Кредит Урал Банк,creditural.gif,7414006722,2584,Bank,http://www.creditural.ru/,,A+ (I),Стабильный,,,,,,,
47,Кредпромбанк,credprombank.png,7601000294,1165,Bank,http://www.credprombank.ru/,"Ярославль, Москва, Рыбинск",B++,Стабильный,,,,,,,
48,КС БАНК,csbank.png,1326021671,1752,Bank,http://www.ks-bank.ru,,B++,Стабильный,,,,,,,
49,Курскпромбанк,kurskprombank.png,4629019959,735,Bank,http://www.kurskprombank.ru/,,A+ (III),Стабильный,,,,,,,
50,Банк «Левобережный»,levoberezhniy.png,5404154492,1343,Bank,https://www.nskbl.ru/,,A+ (III),Стабильный,,,,,,,
51,МТС-Банк,mtsbank.png,7702045051,2268,Bank,http://www.mtsbank.ru/,,ruBBB,Стабильный,,,,,,,
52,Международный коммерческий банк,mezdkb.png,2465029704,2524,Bank,http://www.mcombank.ru,,B++,Стабильный,,,,,,,
53,МЕЖДУНАРОДНЫЙ ФИНАНСОВЫЙ КЛУБ,mfk.png,7744000038,2618,Bank,http://www.mfk-bank.ru/,,B++,Стабильный,,,,,,,
54,Межрегиональный промышленно-строительный банк,mpsb.png,1300034972,752,Bank,https://www.mpsb.ru,,B+,Негативный,,,,,,,
55,ПАО «МОСКОВСКИЙ КРЕДИТНЫЙ БАНК»,mkb.png,7734202860,1978,Bank,https://mkb.ru/,,A (II),Негативный,,,,,,,
56,Московский Нефтехимический Банк,moscowneftbank.png,7744000990,1411,Bank,http://www.mnhb.ru/,,A (I),Стабильный,,,,,,,
57,Московско-Парижский Банк,moscowparisbank.jpg,7744000327,-,Bank,http://mpbbank.ru/,,A (III),Стабильный,,,,,,,
58,МОСКОМБАНК,moscombank.png,7727065444,3172,Bank,https://www.moscombank.ru/,,A (III),Стабильный,,,,,,,
59,АО «Национальный Стандарт»,nationalstandart.png,7750056688,3421,Bank,http://www.ns-bank.ru/,,A (I),Стабильный,,,,,,,
60,НБД-Банк,nbdbank.png,5200000222,1966,Bank,http://nbdbank.ru/,,A+ (II),Стабильный,,,,,,,
61,Невский банк,nevskiybank.png,7835905108,1068,Bank,http://www.nevskybank.ru/,,ruB-,Негативный,,,,,,,
62,НИКО-БАНК,nicobank.png,5607002142,702,Bank,http://www.nico-bank.ru/,,A (I),Стабильный,,,,,,,
63,НОВИКОМБАНК,novikombank.jpg,7706196340,2546,Bank,http://www.novikom.ru/,,ruBB-,Позитивный,,,,,,,
64,КБ «Новопокровский»,novopokrovskiy.png,2344012343,467,Bank,https://www.banknp.ru/,,A (III),Негативный,,,,,,,
65,Нэклис-Банк,neclisbank.png,7707040963,1671,Bank,http://www.necklace.ru/,,ruCCC,Негативный,,,,,,,
66,Банк «Первомайский»,pervomaiskiy.png,2310050140,518,Bank,https://www.1mbank.ru/,,B+,Негативный,,,,,,,
67,ПЕРВОУРАЛЬСКБАНК,pervbank.gif,6625000100,965,Bank,http://www.pervbank.ru/,,B++,Позитивный,,,,,,,
68,Плюс Банк,plusbank.png,5503016736,1189,Bank,http://www.plus-bank.ru/,,B++,Негативный,,,,,,,
69,Банк «Прайм Финанс»,praimfinance.svg,7831001158,2758,Bank,http://pfbank.ru/,,B+,Негативный,,,,,,,
70,ПроКоммерцБанк,prokommercbank.jpg,7706009657,2996,Bank,http://procommercebank.ru,,B++,Стабильный,,,,,,,
71,Банк «РЕЗЕРВ»,bankreserv.jpg,7451036789,2364,Bank,http://www.bankreserv.ru/,,B++,Стабильный,,,,,,,
72,Банк Российский Капитал,roscapital.gif,7725038124,2312,Bank,http://www.roscap.ru/,,A+ (III),Негативный,,,,,,,
73,РНКБ Банк,rnkb.png,7701105460,1354,Bank,http://www.rncb.ru/,,ruA-,Стабильный,,,,,,,
74,АБ «Россия»,bankrossiya.jpg,7831000122,328,Bank,http://web.abr.ru/,,A++,Стабильный,,,,,,,
75,РОСЭКСИМБАНК,roseximbank.jpg,7704001959,2790,Bank,http://eximbank.ru/,,ruAA,Стабильный,,,,,,,
76,Роял Кредит Банк,royalcredit.jpg,2703006553,783,Bank,http://www.royal-bank.ru/ru/,,A (II),Стабильный,,,,,,,
77,РУНА-БАНК,runabank.gif,7701041336,3207,Bank,http://www.runabank.ru/,,A (III),Негативный,,,,,,,
78,РГС Банк,rgsbank.jpg,7718105676,3073,Bank,https://rgsbank.ru/,,A (I),Негативный,,,,,,,
79,РусЮгбанк,rsbank.png,3444064812,2093,Bank,http://www.rsbank.ru/,,A (I),Стабильный,,,,,,,
80,РФИ БАНК,rfibank.png,7729399756,3351,Bank,https://rfibank.ru,,B++,Стабильный,,,,,,,
81,Банк «Санкт-Петербург»,nbankspb.png,7831000027,436,Bank,https://www.bspb.ru/,,ruA,Стабильный,,,,,,,
82,СДМ-Банк,sdmbank.png,7733043350,1637,Bank,http://www.sdm.ru/,,ruA,Стабильный,,,,,,,
83,БАНК СГБ,sgb.png,3525023780,2816,Bank,https://severgazbank.ru/,,A (I),Стабильный,,,,,,,
84,Северный Кредит,sevcredit.png,2901009852,2398,Bank,http://sevcred.ru/,,ruCCC,Негативный,,,,,,,
85,АКБ «СВА»,svabank.jpeg,7707288837,2768,Bank,https://svabank.ru/,,B++,Стабильный,,,,,,,
86,Сельмашбанк,smbbank.png,6166003409,106,Bank,http://www.selmashbank.ru/,Ростов-на-Дону,B++,Стабильный,,,,,,,
87,СИАБ,siabbank.png,2465037737,3245,Bank,https://siab.ru/,,A (III),Стабильный,,,,,,,
88,СИБСОЦБАНК,sibsocbank.svg,2224009042,2015,Bank,http://www.sibsoc.ru/,,ruBBB,Стабильный,,,,,,,
89,СМП Банк,smp.png,7750005482,3368,Bank,https://smpbank.ru/,,A+ (II),Стабильный,,,,,,,
90,Банк «Снежинский»,snezhinskiy.jpg,7423004062,1376,Bank,http://www.snbank.ru/,,ruBBB,Стабильный,,,,,,,
91,Банк «Солидарность»,solidar.jpg,6316028910,554,Bank,http://www.solidar.ru/,,B+,Стабильный,,,,,,,
92,Ставропольпромстройбанк,stavropolbank.png,2634028786,1288,Bank,https://psbst.ru/,,B++,Стабильный,,,,,,,
93,Сургутнефтегазбанк,sngb.jpg,8602190258,588,Bank,https://www.sngb.ru/,,ruA+,Стабильный,,,,,,,http://raexpert.ru/releases/2015/Nov12a
94,Банк «Таатта»,taatta.jpg,1435126628,1249,Bank,http://www.taatta.ru/,Крым,A (II),Стабильный,,,,,,,
95,Тамбовкредитпромбанк,tkpb.jpg,6829000028,1312,Bank,http://www.tkpb.ru/,,A (II),Стабильный,,,,,,,
96,ТАТСОЦБАНК,tatsbank.jpeg,1653003834,480,Bank,https://tatsotsbank.ru/,,A (I),Стабильный,,,,,,,
97,Транскапиталбанк,tkb.png,7709129705,2210,Bank,https://www.tkbbank.ru/,,A+ (II),Стабильный,,,,,,,
98,Трансстройбанк,transstroybank.jpg,7730059592,2807,Bank,http://www.transstroybank.ru/,,A (I),Стабильный,,,,,,,
99,Углеметбанк,uglemetbank.jpg,4214005204,2997,Bank,http://www.coalmetbank.ru/,,B++,Стабильный,,,,,,,
100,АКБ «УРАЛ ФД»,uralfd.png,5902300072,249,Bank,http://www.uralfd.ru/,Пермь,ruBBB-,Стабильный,,,,,,,
101,УралКапиталБанк,uralcapitalbank.jpeg,_0276016368 ,2519,Bank,http://www.uralcapital.ru/,,B,Негативный,,,,,,,
102,УМ-банк,umbank.png,6615001384,1441,Bank,http://www.kbumb.ru/,Екатеринбург,ruB-,Негативный,,,,,,,
103,Банк ФИНАМ,bankfinam.png,7709315684,2799,Bank,http://finambank.ru/,,A (II),Позитивный,,,,,,,
104,Банк Финсервис,finservicebank.jpg,7750004270,3388,Bank,https://www.finsb.ru/,,ruBBB+,Позитивный,,,,,,,
105,ФорБанк,forbank.gif,2202000656,2063,Bank,https://www.forbank.ru/,,A (III),Негативный,,,,,,,
106,Хакасский муниципальный банк,khakasskiy.png,1901036580,1049,Bank,https://kbhmb.ru/,,ruBB+,Стабильный,,,,,,,
107,Челиндбанк,chelindbank.jpg,7453002182,485,Bank,http://www.chelindbank.ru/,Челябинск,A+ (I),Позитивный,,,,,,,
108,Челябинвестбанк,chelyabinvestbank.png,7421000200,493,Bank,http://www.chelinvest.ru/,Челябинск,A+ (I),Негативный,,,,,,,
109,Чувашкредитпромбанк,chuvashbank.jpg,2129007126,1280,Bank,https://kred-bank.ru/,,B++,Стабильный,,,,,,,
110,Эксперт Банк,expertbank.png,5502051657,2949,Bank,https://expertbank.com/,,B++,Стабильный,,,,,,,
111,Энергобанк,energobank.jpg,1653011835,67,Bank,http://energobank.ru/,"Казань, Чебоксары",A (II),Стабильный,,,,,,,
112,Энерготрансбанк,energotransbank.jpg,3906098008,1307,Bank,http://www.energotransbank.com/,,A+ (II),Негативный,,,,,,,
113,ЮГ-Инвестбанк,uginvestbank.jpeg,106000547,2772,Bank,http://www.invb.ru/,,A (I),Стабильный,,,,,,,
114,КБ «Юнистрим»,unistrim.png,7750004009,3467,Bank,http://bank.unistream.ru/,,A+ (III),Стабильный,,,,,,,
115,Альфа-Банк,alfa_bank.jpg,7728168971,1326,Bank,https://alfabank.ru/,,Ba2,Позитивный,,,,,,,
116,Сбербанк,sberbank.jpeg,7707083893,1481,Bank,http://www.sberbank.ru,,,Позитивный,,,,,,,
117,Тинькофф Банк,tinkoff.png,7710140679,2673,Bank,https://www.tinkoff.ru/,,,Позитивный,,,,,,,
118,Совкомбанк,sovkombank.png,4401116480,963,Bank,https://sovcombank.ru/,,B+,Стабильный,,,,,,,
119,Модульбанк,modulbank.png,2204000595,1927,Bank,https://modulbank.ru,,,Позитивный,,,,,,,
120,Райффайзенбанк,raiffaizen.jpeg,7744000302,3292,Bank,www.raiffeisen.ru/,,BBB-,Позитивный,,,,,,,
121,ВТБ-Банк Москвы,vtb_bm.svg,7702070139,1000,Bank,http://www.bm.ru/,,,Позитивный,,,,,,,
122,Открытие,openbank.png,7706092528,2209,Bank,https://www.open.ru,,BB-,Позитивный,,,,,,,
123,Авангард,avangard.jpg,7702021163,2879,Bank,https://www.avangard.ru,,BBB-,Позитивный,,,,,,,
124,ЛокоБанк,lokobank.jpg,7750003943,2707,Bank,http://www.lockobank.ru,,B+,Позитивный,,,,,,,
125,РосБанк,rosbank.jpg,7730060164,2272,Bank,http://www.rosbank.ru,,BB+,Позитивный,,,,,,,
126,Юникредитбанк,unikreditbank.jpg,7710030411,1,Bank,https://www.unicreditbank.ru,,BB+,Позитивный,,,,,,,
